state,date,staffed_adult_icu_bed_occupancy,total_staffed_adult_icu_beds,adult_icu_occupancy_percent
AR,2021-06-12,689.0,1000.0,68.9
IA,2021-05-19,465.0,672.0,69.2
RI,2021-03-30,149.0,179.0,83.24
RI,2021-03-29,148.0,174.0,85.06
VI,2022-05-22,14.0,20.0,70.0
AS,2022-05-21,2.0,7.0,28.57
AS,2022-05-20,2.0,7.0,28.57
AS,2022-05-19,2.0,7.0,28.57
VI,2022-05-19,12.0,20.0,60.0
AS,2022-05-15,0.0,7.0,0.0
VI,2022-05-15,12.0,20.0,60.0
AS,2022-05-14,0.0,7.0,0.0
AS,2022-05-13,0.0,7.0,0.0
VI,2022-05-13,11.0,20.0,55.0
AS,2022-05-12,0.0,7.0,0.0
VI,2022-05-12,11.0,20.0,55.0
AS,2022-05-11,1.0,7.0,14.29
VI,2022-05-11,11.0,20.0,55.0
AS,2022-05-10,1.0,7.0,14.29
VI,2022-05-10,10.0,20.0,50.0
AS,2022-05-09,1.0,7.0,14.29
VI,2022-05-09,7.0,20.0,35.0
AS,2022-05-08,4.0,7.0,57.14
VI,2022-05-07,8.0,20.0,40.0
AS,2022-05-06,5.0,7.0,71.43
AS,2022-05-04,7.0,6.0,116.67
VI,2022-05-03,8.0,20.0,40.0
AS,2022-05-02,7.0,7.0,100.0
AS,2022-04-30,6.0,7.0,85.71
VI,2022-04-30,11.0,20.0,55.0
AS,2022-04-29,6.0,7.0,85.71
VI,2022-04-29,12.0,20.0,60.0
AS,2022-04-28,6.0,7.0,85.71
VI,2022-04-28,11.0,20.0,55.0
AS,2022-04-26,7.0,7.0,100.0
VI,2022-04-26,10.0,20.0,50.0
VI,2022-04-24,7.0,20.0,35.0
AS,2022-04-23,3.0,7.0,42.86
VI,2022-04-22,10.0,20.0,50.0
AS,2022-04-21,3.0,7.0,42.86
VI,2022-04-20,9.0,20.0,45.0
VI,2022-04-19,9.0,20.0,45.0
VI,2022-04-18,9.0,20.0,45.0
AR,2022-04-17,594.0,862.0,68.91
VI,2022-04-16,10.0,20.0,50.0
VI,2022-04-14,6.0,20.0,30.0
VI,2022-04-13,7.0,20.0,35.0
AS,2022-04-12,6.0,7.0,85.71
AS,2022-04-11,7.0,7.0,100.0
VI,2022-04-11,8.0,20.0,40.0
VI,2022-04-10,8.0,20.0,40.0
VI,2022-04-09,7.0,20.0,35.0
VI,2022-04-08,11.0,20.0,55.0
AS,2022-04-07,6.0,7.0,85.71
AS,2022-04-06,5.0,7.0,71.43
VI,2022-04-06,10.0,20.0,50.0
VI,2022-04-04,10.0,20.0,50.0
AS,2022-04-03,4.0,7.0,57.14
AS,2022-04-02,5.0,7.0,71.43
VI,2022-04-02,8.0,20.0,40.0
AS,2022-04-01,5.0,7.0,71.43
AS,2022-03-31,6.0,7.0,85.71
SD,2022-03-29,127.0,243.0,52.26
AS,2022-03-28,5.0,7.0,71.43
VI,2022-03-21,9.0,20.0,45.0
AS,2022-03-19,4.0,7.0,57.14
AS,2022-03-16,5.0,7.0,71.43
VI,2022-03-15,9.0,20.0,45.0
VI,2022-03-13,10.0,20.0,50.0
AS,2022-03-11,7.0,7.0,100.0
