state,date,staffed_pediatric_icu_bed_occupancy,total_staffed_pediatric_icu_beds,pediatric_icu_occupancy_percent
AR,2021-06-12,284.0,423.0,67.14
RI,2021-03-30,77.0,96.0,80.21
RI,2021-03-29,73.0,96.0,76.04
VI,2022-05-22,0.0,6.0,0.0
VI,2022-05-19,0.0,5.0,0.0
VI,2022-05-15,1.0,6.0,16.67
VI,2022-05-13,0.0,6.0,0.0
VI,2022-05-12,2.0,6.0,33.33
VI,2022-05-11,2.0,6.0,33.33
VI,2022-05-10,0.0,6.0,0.0
VI,2022-05-09,0.0,6.0,0.0
VI,2022-05-07,0.0,6.0,0.0
VI,2022-05-03,0.0,6.0,0.0
VI,2022-04-30,0.0,6.0,0.0
VI,2022-04-29,0.0,6.0,0.0
VI,2022-04-28,0.0,6.0,0.0
VI,2022-04-26,0.0,6.0,0.0
VI,2022-04-24,1.0,6.0,16.67
VI,2022-04-22,0.0,6.0,0.0
VI,2022-04-20,0.0,6.0,0.0
VI,2022-04-19,0.0,6.0,0.0
VI,2022-04-18,0.0,6.0,0.0
AR,2022-04-17,44.0,87.0,50.57
VI,2022-04-16,0.0,6.0,0.0
VI,2022-04-14,0.0,6.0,0.0
VI,2022-04-13,0.0,6.0,0.0
VI,2022-04-11,0.0,6.0,0.0
VI,2022-04-10,0.0,6.0,0.0
VI,2022-04-09,0.0,6.0,0.0
VI,2022-04-08,0.0,6.0,0.0
VI,2022-04-06,0.0,6.0,0.0
VI,2022-04-04,0.0,6.0,0.0
VI,2022-04-02,0.0,6.0,0.0
SD,2022-03-29,5.0,22.0,22.73
VI,2022-03-21,0.0,6.0,0.0
VI,2022-03-15,0.0,6.0,0.0
VI,2022-03-13,1.0,6.0,16.67
VI,2022-02-25,0.0,6.0,0.0
AK,2022-01-20,12.0,11.0,109.09
ID,2021-12-31,107.0,120.0,89.17
CT,2021-12-30,195.0,334.0,58.38
VI,2021-12-29,0.0,6.0,0.0
UT,2021-12-28,227.0,409.0,55.5
VI,2021-12-26,0.0,6.0,0.0
VI,2021-12-23,0.0,6.0,0.0
DE,2021-12-21,108.0,172.0,62.79
VI,2021-12-18,1.0,6.0,16.67
VT,2021-12-16,21.0,33.0,63.64
WA,2021-12-13,290.0,449.0,64.59
AK,2021-12-12,49.0,63.0,77.78
UT,2021-12-11,257.0,405.0,63.46
SD,2021-12-10,46.0,84.0,54.76
VI,2021-12-08,0.0,6.0,0.0
HI,2021-12-04,11.0,207.0,5.31
VI,2021-12-04,0.0,6.0,0.0
PR,2021-12-03,164.0,365.0,44.93
DE,2021-12-01,113.0,172.0,65.7
VI,2021-12-01,0.0,6.0,0.0
AK,2021-11-30,50.0,67.0,74.63
VI,2021-11-30,0.0,6.0,0.0
UT,2021-11-27,247.0,404.0,61.14
VT,2021-11-26,17.0,33.0,51.52
CT,2021-11-19,192.0,341.0,56.3
VI,2021-11-17,0.0,6.0,0.0
VI,2021-11-16,0.0,6.0,0.0
DC,2021-11-06,6.0,10.0,60.0
VT,2021-11-06,14.0,33.0,42.42
AR,2021-11-04,307.0,448.0,68.53
RI,2021-10-27,84.0,91.0,92.31
CT,2021-10-25,187.0,336.0,55.65
VT,2021-10-25,19.0,33.0,57.58
VT,2021-10-21,16.0,33.0,48.48
VI,2021-10-19,0.0,6.0,0.0
